jardescription,jvmdescription,memory,cpus_load,cpus_service,concurrency,lat_avg,lat_stdev,lat_max,req_avg,req_stdev,req_max,tot_requests,tot_duration,read,err_connect,err_read,err_write,err_timeout,req_sec_tot,read_tot,user_cpu,kern_cpu,mem_kb_uss,mem_kb_pss,mem_kb_rss,duration
sb_jdbc_17,17-loom,2Gb,1,1,1,0.98,5.96,115.92,2920.0,1020.0,4450.0,174033.0,60000.0,29622272.0,0,0,0,0,2900.3,493608.96,4089,1056,814508,814535,817572,60
sb_jdbc_17,17-loom,2Gb,1,1,5,2.6,5.87,144.81,2740.0,727.0,3880.0,163309.0,60000.0,27797749.76,0,0,0,0,2721.36,463155.2,5012,988,809688,809711,812704,60
sb_jdbc_17,17-loom,2Gb,1,1,100,109.31,108.01,1020.0,1110.0,281.26,1790.0,66151.0,60000.0,11261706.24,0,0,0,0,1101.71,187484.16,5571,433,829460,829505,832572,60
sb_jdbc_17,17-loom,2Gb,1,2,1,0.44661,1.89,62.47,3390.0,940.0,4650.0,202445.0,60000.0,34456207.36,0,0,0,0,3373.48,574136.32,3845,1179,1605252,1605278,1608256,60
sb_jdbc_17,17-loom,2Gb,1,2,5,1.15,2.54,58.08,6770.0,2510.0,10030.0,404437.0,60000.0,68828528.64,0,0,0,0,6740.0,1142947.84,8890,2779,1609508,1609538,1612628,60
sb_jdbc_17,17-loom,2Gb,1,2,100,21.33,29.48,452.95,7890.0,2880.0,10800.0,471130.0,60000.0,80184606.72,0,0,0,0,7844.04,1331691.52,8793,2781,1623544,1623782,1626856,60
sb_jdbc_17,17-loom,2Gb,1,4,1,0.32508,0.87,32.68,3600.0,821.18,4700.0,214726.0,60000.0,36542873.6,0,0,0,0,3578.71,609054.72,4411,1270,1659096,1659122,1662136,60
sb_jdbc_17,17-loom,2Gb,1,4,5,0.53539,1.48,44.86,12350.0,2880.0,14120.0,737216.0,60000.0,125462118.4,0,0,0,0,12286.78,2086666.24,12452,4965,1623496,1623524,1626532,60
sb_jdbc_17,17-loom,2Gb,1,4,100,9.16,9.01,168.88,13180.0,2900.0,14820.0,786563.0,60000.0,133861212.16,0,0,0,0,13098.75,2233466.88,14189,5742,1699396,1699423,1702372,60
sb_jdbc_17,17-loom,2Gb,2,1,5,1.84,2.76,77.94,1380.0,372.42,2270.0,165134.0,60000.0,28101836.8,0,0,0,0,2751.83,468336.64,4960,1040,800636,800658,803528,60
sb_jdbc_17,17-loom,2Gb,2,1,100,109.74,110.45,961.46,570.75,189.56,1430.0,68208.0,60000.0,11607736.32,0,0,0,0,1135.8,193290.24,5573,430,843728,843755,846792,60
sb_jdbc_17,17-loom,2Gb,2,2,5,0.77906,2.19,61.32,3650.0,1070.0,4730.0,435559.0,60000.0,74123837.44,0,0,0,0,7259.23,1237319.68,8226,2952,1601536,1601560,1604404,60
sb_jdbc_17,17-loom,2Gb,2,2,100,20.0,27.15,425.19,4059.9999999999995,1510.0,5730.0,485369.0,60000.0,82606817.28,0,0,0,0,8084.76,1373634.56,8774,2805,1644076,1644168,1647292,60
sb_jdbc_17,17-loom,2Gb,2,4,5,0.41758,1.07,48.51,5680.0,1180.0,6350.0,678127.0,60000.0,115406274.56,0,0,0,0,11302.03,1918894.08,10518,4366,1638964,1638989,1641904,60
sb_jdbc_17,17-loom,2Gb,2,4,100,9.36,9.99,291.78,6590.0,1550.0,7850.0,787308.0,60000.0,133987041.28,0,0,0,0,13110.44,2233466.88,14194,5922,1696396,1696427,1699512,60
sb_jdbc_17,17-loom,2Gb,4,1,5,1.99,4.79,121.01,718.41,221.67,1320.0,171677.0,60000.0,29213327.36,0,0,0,0,2859.91,486737.92,4975,1027,809820,809844,812800,60
sb_jdbc_17,17-loom,2Gb,4,1,100,111.52,103.68,817.71,262.25,107.56,740.0,62551.0,60000.0,10643046.4,0,0,0,0,1041.12,177182.72,5558,446,818664,818687,821640,60
